feeling,sentence
sad,I wish I could fast forward.
sad,I could not find a job
happy,Warms my heart
happy,On top of the world
happy,I am ecstatic! 
happy,Everything in the garden is rosey
happy,I got a new kitten!
happy,i love my sister
happy,We are going to the zoo
sad,I went to disneyland The lines were so long and I waited in line for hours
happy,I drew a beautiful picture!
happy,I had a lot of fun today.
happy,kittens playing with toys
happy,This is the last week of school!
sad,The teacher was mean to me!
sad,I miss my best friend.
happy,ice cream every day
sad,I got a bad grade in english.
happy,there are rainbows everywhere
happy,My friend is celebrating her birthday today!
sad,its depressing to see rain all the time
sad,Mom and dad are fighting again
happy,Mama sing kirtan
sad,The inflatable obstacle course is out of air. 
happy,Let's go to the pool
happy,what a beautiful music
sad,I have to get my braces back on
happy,I love chocolate and desserts! 
happy,Today was the best day ever! 
happy,received a hearty welcome
happy,"Don't worry, be happy"
happy,I distributed a bhagavad-gita
happy,Summer is almost here!
sad,I don’t want to wake up now
happy,Can I have more? It's so delicious!
happy,We're going on a camping trip!?!? Yay!!! 
happy,I went to see Hamilton!
sad,In the dumps
happy,We are on time! 
happy,The pizza is great
sad,all my clothes are dirty
happy,That cake looks so delectable. Love the chocolate frosting and flower designs!
sad,Sad state of affairs
sad,I saw a snake
sad,I don't have enough money
sad,"Oh no, my ice cream fell! :("
happy,I am jumping with joy
happy,I got to eat my favorite food today 
happy,The weather is beautiful today 
happy,Let's go shopping! Can't wait to meet our friends and get clothes!
happy,I don't have work today
happy,I can't wait for the years to come!
sad,I got a bad grade in math 
sad,I am unhappy to see that the food has hair in it. 
happy,It's My Birthday!
sad,>:( I am mad. 
happy,Mama loves me
happy,I cannot wait for the party today!
sad,The cat pooped in the hallway
sad,I am very very hungry
happy,Let's go play! I finished all my homework
happy,All glories to you
happy,Lift up your hearts
happy,I attended a really nice picnic which was thrown by one of my friends
happy,I have a new puppy and he is adorable!
happy,jumping with joy
happy,Today is Friday?? Yay!!! :D 
happy,My friend is coming for play date 
happy,It's a holiday tomorrow!
happy,I am dancing mama
sad,I don't like her very much.
happy,This is so much fun!
sad,My mom took my phone away
happy,I am really happy!
happy,tears of joy
sad,I am homesick.
sad,Today is Monday. Ewwww.
happy,dancing with the stars
happy,Daddy loves me
sad,I was late for school and got a tardy
happy,Summer is here!
happy,I went on a great hike and now I feel energized
sad,my head hurts
sad,Long faced
happy,Walk on air
happy,I won a trophy!
happy,I am going cherry picking
happy,I solved a rubik cube in one minute!
happy,I cannot wait to jump in the playhouse! 
sad,Can we leave now?
happy,I had a ton of cake today
happy,I got a new pet!
happy,I am so excited for our summer trip!
happy,Dream come true
happy,We are going camping
happy,my life is great. Everyone loves me
happy,I love summer!
sad,What a drag
happy,Grandpa bought me icecream
sad,Depths of despair
happy,I got an A on my test!
sad,He/she pushed me at school
sad,I don't want to do homework
happy,Over the moon
happy,Hahaha I'm so happy!
happy,I want to go to school
happy,I am going to do a fundraiser to help other kids
happy,I got a 100 on my science test!
sad,I broke a bone
happy,I finally saw the movie!
happy,I am beautiful
happy,I really like this song
happy,Walking on sunshine
happy,On cloud nine
happy,Mom made my favorite dish for dinner!
happy,Laugh as much as you breathe and love as long as you live.
happy,Comfortable in your skin
happy, I feel good mama 
happy,Mom gave me more chocolate
sad,I hurt my knee
happy,I would love to go to the water park! 
sad,Today was the worst day ever.
sad,I broke my arm
happy,Happy birthday! Congratulations on another year!
sad,"I have to study this weekend, I can't hang out with you"
happy,Domestic harmony
happy,I am eating super healthy and feel great!
sad,My ears are hurting
happy,deer in the front yard
sad,Why is she so skinny
happy,my cousins are visiting me!
happy,Keep your chin up
happy,I made cool looking pancakes with my friends
happy,I like to read
sad,I am nostalgic.
happy,Haha today is a great day! 
sad,Why can't I get more candy?
happy,Mom and dad are planning a great party for christmas. I am excited
happy,I am cool
sad,I don't feel great today.
sad,Counsel of despair
happy,I am happy!
happy,I got a certficate for perfect attendance!
happy,I work at Pyxeda
happy,There is so much to look forward to! 
happy,pancakes for breakfast and brunch!
happy,Everything's coming up daisies
happy,I am so lucky to have you as my best friend.
happy,Let's do something fun this summer!
happy,Joy to the world
