feeling,sentence
sad,My swimsuit is full of sand
sad,I am sad.
sad,I am soooooo tired :(
sad,I don't have enough money
sad,I feel defeated
sad,I can't go to the theme park today.
sad,I am so depressed
happy,I got an A on my test!
sad,He/she pushed me at school
happy,"Don't worry, be happy"
sad,I have slime in my hair!
happy,Warms my heart
sad,"Oh no, my ice cream fell! :("
happy,This is the last week of school!
sad,"stop the shouting match here, its giving me a headache"
sad,My music teacher said I can’t sing 
happy,my life is great. Everyone loves me
sad,I wish that I weren't allergic to pollen.
sad,I could not find a job
sad,I hurt my knee
sad,I don't want to do homework
sad,I don’t want to wake up now
sad,My mom took my phone away
sad,my pet died
sad,a dog bit me
sad,I am so sad to see you go. 
sad,all my clothes are dirty
sad,I'm exhausted.
sad,Its disgusting
happy,I am so lucky to have you as my best friend.
happy,All glories to you
sad,I am feeling blue
happy,I got new shoes
sad,I am so stressed out and I cannot seem to relax
sad,college applications are way too hard
happy,Haha today is a great day! 
sad,my head hurts
sad,Counsel of despair
sad,my friends were mean to me. I dont know why
happy,Dancing on air
sad,I am nostalgic.
happy,I am beautiful
sad,I hate haters
happy,I won a trophy!
sad,No one loves me
sad,When can we go to the park?
sad,Come to grief
happy,The weather is beautiful today 
happy,I love pizza! 
sad,This food tastes awful! What is this?
happy,I cannot wait for the party today!
sad,its depressing to see rain all the time
sad,bored at home
sad,I don't feel great today.
sad,Can we leave now?
happy,Congratulations on your new job! 
sad,They will not stop arguing!
sad,my life sucks
happy,I solved a rubik cube in one minute!
sad,I have to go to math camp again this summer
sad,The teacher was mean to me!
sad,I wish I got the same thing as her
sad,I want to go home.
happy,I attended a really nice picnic which was thrown by one of my friends
sad,I saw a snake
sad,In a blue funk
sad,my favourite team lost
sad,I need to get some exercise
sad,Into the wild blue yonder
sad,"I have to study this weekend, I can't hang out with you"
sad,Long faced
sad,I'm bored and tired.
sad,charlie bit me! and it hurts!
sad,Stop it( my daughter says this when she hears two people arguing)
sad,I have to finsh homework before we can head out for ice cream
sad,"Sorry, mom says I can't go"
sad,I am homesick.
sad,I am ugly
sad,Doom and gloom
happy,Everything in the garden is rosey
sad,Why did she get more presents than I did?
sad,My friend is gone away
happy,I don't have work today
sad,Depths of despair
sad,I can't go to sleep.
happy,It's My Birthday!
happy,I have enough money! Let's buy it!
sad,I lost my ipad :O
sad,"no power in the house, cannot use my devices"
happy,I am so excited for tomorrow!
sad,my mom has to travel and I miss her
sad,dad never came home yesterday
sad,I'm too tired for rock climbing
sad,There is a thunderstom and lightning outside
happy,I cannot believe I won the lottery! I'm so happy to hear that!
happy,Over the moon
happy,"The sun is really bright, and the weather is perfect today!"
sad,I'm feeling blue.
sad,my leg sprained
sad,It burns me up
sad,I don't know how to do my homework
sad,I really want that popsicle
sad,I went to disneyland The lines were so long and I waited in line for hours
sad,"sorrowful, bleak, miserable, despair, heartbreak are some sad words."
sad,She is very mean to me
sad,My doctor says I cannot have sugar
happy,"Love, joy, happiness, jubilance, sanguine, euphoria, good are some happy words."
sad,The inflatable obstacle course is out of air. 
happy,ice cream every day
sad,I broke a bone
happy,On cloud nine
sad,I wish I could fast forward.
sad,I wish that it weren't raining outside. This weather is terrible!
happy,That cake looks so delectable. Love the chocolate frosting and flower designs!
sad,Gloom and doom
sad,I can't solve the teacher's math problem
sad,Why does school have to start so early? 
happy,Walking on sunshine
sad,The cat pooped in the hallway
happy,I am going to collect rocks
sad,I am sick
sad,What a drag
happy,I got a 100 on my science test!
happy,Summer is almost here!
happy,I had a lot of fun today.
sad,my mom yelled at me and I didn't even do anything!
sad,Why can't I get more candy?
happy,"Life, liberty and the pursuit of happiness"
sad,Sad state of affairs
sad,I was late for school and got a tardy
sad,In the dumps
happy,I cannot believe that the famous rock band is coming to visit us here!!
sad,Ohh... I wont be able to be there for program tonight.
sad,A friend is sick
sad,I cant find my homework!
sad,Today is Monday. Ewwww.
sad,I feel fat
sad,I don't want to talk to you
sad,"I am bloated, I don't feel good..I feel like puking "
sad,my pet is very sick
happy,Domestic bliss
sad,My hair has too many tangles!
sad,Why is she so skinny
sad,I am upset at him for being late.
sad,My grandma went to the hospital yesterday
sad,Today was the worst day ever.
sad,I am morose today.
sad,It's a Heartache
sad,Where is my mom
sad,Why can't I buy that popsicle?
