feeling,sentence
happy,Domestic harmony
sad,my head hurts
happy,my cousins are visiting me!
happy,Its yummy
happy,There is so much to look forward to! 
happy,I learned something new
happy,I like my jacket
happy, I feel good mama 
happy,my life is great. Everyone loves me
happy,I love the bouncy house! There are so many fun things to do! 
happy,I am so lucky to have you as my best friend.
happy,received a hearty welcome
happy,Can I have more? It's so delicious!
happy,Warms my heart
happy,I would love to go to the water park! 
happy,It's a holiday tomorrow!
happy,All glories to you
happy,Everything in the garden is rosey
happy,Joy to the world
happy,Mom made my favorite dish for dinner!
sad,The teacher was mean to me!
happy,This dessert is delectable! 
happy,I am going to collect rocks
happy,Today was the best day ever! 
happy,I am going cherry picking
happy,I got a certficate for perfect attendance!
happy,We are on time! 
happy,I cannot believe I won the lottery! I'm so happy to hear that!
happy,I got a new kitten!
happy,We don't have school tomorrow!
happy,Let's go play! I finished all my homework
happy,I am so excited for our summer trip!
happy,I had the best dream ever! 
happy,I will have a great summer!
happy,I made cool looking pancakes with my friends
happy,Haha today is a great day! 
happy,We're going on a camping trip!?!? Yay!!! 
happy,I am really happy!
happy,I am going to do a fundraiser to help other kids
happy,I went to see Hamilton!
happy,dancing with the stars
happy,Summer is almost here!
sad,My leg hurts
happy,On top of the world
happy,Warm and fuzzy
happy,I really really love this present!
happy,I like to read
happy,The weather is beautiful today 
happy,I got a 100 on my science test!
happy,Happy birthday! Congratulations on another year!
happy,Dancing on air
happy,kittens playing with toys
happy,"Love, joy, happiness, jubilance, sanguine, euphoria, good are some happy words."
happy,I am beautiful
happy,I cannot believe that the famous rock band is coming to visit us here!!
happy,Mom gave me more chocolate
happy,My team won!
sad,In the dumps
happy,what a beautiful music
happy,Can we stay longer?
happy,I had a lot of fun today.
happy,deer in the front yard
happy,I have a new puppy and he is adorable!
happy,Today is Friday?? Yay!!! :D 
happy,We are going to the zoo
happy,Mom and dad are planning a great party for christmas. I am excited
happy,Mama sing kirtan
happy,Dream come true
happy,I had a ton of cake today
happy,I am happy!
happy,I love summer!
happy,Grandpa bought me icecream
happy,Congratulations on your new job! 
happy,Everything's coming up daisies
happy,I found my passion
happy,I love chocolate and desserts! 
sad,I wish I could fast forward.
sad,"I am bloated, I don't feel good..I feel like puking "
happy,Everything's coming up roses
happy,jumping with joy
happy,I got an A on my test!
happy,It's My Birthday!
happy,Tons of fun!
happy,Domestic bliss
sad,a dog bit me
happy,Let's go shopping! Can't wait to meet our friends and get clothes!
happy,I won a trophy!
happy,I cannot wait for the party today!
happy,Hahaha I'm so happy!
sad,Sad state of affairs
happy,I finally saw the movie!
happy,I graduated today with perfect grades!
happy,Laugh as much as you breathe and love as long as you live.
happy,I love this cake...it's so yummy! 
happy,Walk on air
happy,My friend is celebrating her birthday today!
happy,I am jumping with joy
happy,I distributed a bhagavad-gita
happy,When can we hang out? I'm free this weekend!
sad,I don't feel great today.
happy,I can't wait for the years to come!
happy,The stars are beautiful
happy,My friend is coming for play date 
happy,"Life, liberty and the pursuit of happiness"
happy,I have enough money! Let's buy it!
happy,I attended a really nice picnic which was thrown by one of my friends
happy,Let's do something fun this summer!
happy,Time of your life
happy,I love pizza! 
sad,This food tastes awful! What is this?
happy,I want to go to school
happy,Daddy loves me
happy,I cannot wait to jump in the playhouse! 
happy,I got new shoes
happy,The pizza is great
happy,ice cream every day
sad,>:( I am mad. 
sad,Why can't I get more candy?
sad,I am so stressed out and I cannot seem to relax
happy,I work at Pyxeda
happy,The dance show went great!
happy,I am cool
sad,Come to grief
happy,pancakes for breakfast and brunch!
happy,Comfortable in your skin
happy,I got a new pet!
happy,I went to disneyland. The rides were really fun 
happy,I had super yummy sri lankan food and sweets
happy,I got to eat my favorite food today 
happy,Walking on sunshine
happy,I really like this song
happy,This is so much fun!
happy,i love my sister
happy,Keep your chin up
happy,went to disneyland :)
happy,Jump for joy
happy,I am eating super healthy and feel great!
happy,I don't have work today
happy,tears of joy
happy,I am ecstatic! 
happy,I love salad! 
happy,That cake looks so delectable. Love the chocolate frosting and flower designs!
happy,I am dancing mama
sad,I wish that I weren't allergic to pollen.
happy,On cloud nine
happy,"The sun is really bright, and the weather is perfect today!"
happy,Over the moon
happy,This food tastes really good!
happy,Crack a smile
happy,I am so excited for tomorrow!
