feeling,sentence
sad,I don't know how to do my homework
sad,my head hurts
sad,All my friends went away for the summer and I am all alone at home
sad,all my clothes are dirty
sad,I am feeling blue
sad,my mom yelled at me and I didn't even do anything!
sad,"stop the shouting match here, its giving me a headache"
sad,I can't go to sleep.
happy,There is so much to look forward to! 
sad,They will not stop arguing!
sad,I am upset that my dress is ruined! :( 
happy, I feel good mama 
happy,Mom and dad are planning a great party for christmas. I am excited
sad,I want to go home.
sad,I broke my arm
sad,I am very very hungry
happy,I got a new pet!
sad,I could not find a job
sad,It's a Heartache
sad,I have slime in my hair!
sad,The teacher was mean to me!
sad,I have to eat vegetables
happy,I went to see Hamilton!
sad,I wish I got the same thing as her
happy,My team won!
sad,I saw something scary on the news
sad,"sorrowful, bleak, miserable, despair, heartbreak are some sad words."
sad,I am soooooo tired :(
sad,I wish I could turn back time.
happy,Comfortable in your skin
sad,Why can't I buy that popsicle?
sad,I really want that popsicle
happy,We are going to the zoo
happy,I got a certficate for perfect attendance!
happy,I have a new puppy and he is adorable!
happy,what a beautiful music
sad,I feel lonely
sad,I lost my ipad :O
happy,I love pizza! 
sad,Down in the dumps
happy,On cloud nine
happy,I am really happy!
sad,My leg hurts
happy,I had a ton of cake today
sad,Where is my mom
sad,why does nothing I try ever work?
happy,I am so lucky to have you as my best friend.
sad,What a drag
sad,Depths of despair
happy,I am jumping with joy
sad,Why is she so skinny
happy,Walking on sunshine
sad,He/she pushed me at school
sad,my pet is very sick
sad,I'm feeling blue.
sad,I am sick
sad,I am morose today.
sad,In the dumps
sad,"no power in the house, cannot use my devices"
sad,My mom took my phone away
sad,I saw a snake
sad,Mom and dad are fighting again
sad,Today is a slow day.
sad,I went to disneyland The lines were so long and I waited in line for hours
sad,I hurt my knee
sad,I wish I had done things differently. 
sad,Stop it( my daughter says this when she hears two people arguing)
happy,I got a new kitten!
sad,"Sorry, mom says I can't go"
happy,I went to disneyland. The rides were really fun 
happy,I am so excited for our summer trip!
sad,My friend is gone away
sad,I don’t want to brush my teeth 
happy,We are on time! 
sad,my friends were mean to me. I dont know why
sad,I was late for school and got a tardy
sad,I wish I could fast forward.
sad,"I am bloated, I don't feel good..I feel like puking "
sad,I have to finsh homework before we can head out for ice cream
happy,I got new shoes
sad,I am nostalgic.
happy,I won a trophy!
happy,Mom made my favorite dish for dinner!
sad,I have to go to math camp again this summer
sad,a dog bit me
sad,my favourite team lost
sad,Today was the worst day ever.
sad,I don't want to do homework
sad,My music teacher said I can’t sing 
sad,Sad state of affairs
happy,Warm and fuzzy
happy,Today was the best day ever! 
sad,The cat pooped in the hallway
sad,I can't go to the theme park today.
sad,I don’t want to wake up now
sad,I am so sad to see you go. 
sad,It burns me up
happy,I got an A on my test!
sad,I am upset at him for being late.
sad,I don't feel great today.
sad,I am sad.
sad,I am disappointed. 
happy,Grandpa bought me icecream
sad,its depressing to see rain all the time
sad,Counsel of despair
sad,I got a bad grade in math 
sad,I am unhappy to see that the food has hair in it. 
sad,I am homesick.
sad,I want to go to sleep
sad,This food tastes awful! What is this?
sad,Can we leave now?
sad,I wish that it weren't raining outside. This weather is terrible!
sad,I broke a bone
sad,I don't want to talk to you
sad,I got a bad grade in english.
happy,Dancing on air
sad,>:( I am mad. 
sad,Why can't I get more candy?
sad,I am so stressed out and I cannot seem to relax
sad,I cannot eat any desserts today. 
happy,The stars are beautiful
happy,Let's go play! I finished all my homework
sad,Come to grief
sad,There is a thunderstom and lightning outside
sad,I feel defeated
sad,my room is a mess
sad,Today is Monday. Ewwww.
happy,Keep your chin up
happy,Everything in the garden is rosey
sad,My ears are hurting
sad,My grandma went to the hospital yesterday
sad,In a blue funk
happy,Mom gave me more chocolate
sad,my life sucks
sad,Why did she get more presents than I did?
happy,Let's do something fun this summer!
sad,Why does school have to start so early? 
sad,charlie bit me! and it hurts!
sad,A friend is sick
sad,college applications are way too hard
sad,my pet died
sad,My swimsuit is full of sand
sad,Gloom and doom
sad,I wish that I weren't allergic to pollen.
sad,Long faced
happy,I am dancing mama
happy,Let's go shopping! Can't wait to meet our friends and get clothes!
sad,I can't solve the teacher's math problem
sad,I am ugly
sad,Its disgusting
