num_countries,years_school,height,who_am_I
6,6.0,4.560558058943899,Adult
4,2.0,5.816075808558182,Adult
1,22.0,6.305460519763241,Adult
0,4.0,4.718363280147026,Adult
1,16.0,4.338604426285894,Adult
0,19.0,5.98434291823297,Adult
0,10.0,4.401972262423103,Adult
0,7.0,5.250804097562147,Adult
5,17.0,4.321561874926554,Adult
0,22.0,4.727719532888132,Adult
5,16.0,6.327675535849448,Adult
0,10.0,5.540615611074293,Adult
3,13.0,5.172023688995927,Adult
1,23.0,4.585761906839024,Adult
1,13.0,4.482695568193365,Adult
5,7.0,4.746228167934122,Adult
7,19.0,4.507751053976213,Adult
0,19.0,4.922870103067116,Adult
0,23.0,6.545666186444006,Adult
5,13.0,4.914835760595125,Adult
3,16.0,4.903322202802907,Adult
1,6.0,6.08618786558373,Adult
3,22.0,5.105571723834865,Adult
0,3.0,5.843816807967272,Adult
3,3.0,4.921465736010657,Adult
0,21.0,5.747347647171785,Adult
3,20.0,4.3305859610238615,Adult
0,12.0,4.690076455800149,Adult
0,17.0,5.150716103878605,Adult
3,25.0,4.665321576968445,Adult
4,24.0,6.419172608989589,Adult
0,6.0,5.621301579059034,Adult
4,23.0,4.261984480112866,Adult
0,22.0,5.284008058368837,Adult
4,24.0,6.419172608989589,Adult
3,9.0,4.658118320816103,Adult
5,17.0,4.259202707035743,Adult
5,21.0,6.03658532110387,Adult
8,16.0,4.405935812396254,Adult
0,9.0,4.5717180149165895,Adult
0,22.0,5.761115816056473,Adult
13,20.0,4.549394682064817,Adult
0,14.0,4.298493985825638,Adult
0,22.0,5.478674115219931,Adult
0,11.0,4.653010417387161,Adult
8,22.0,4.750926533643048,Adult
0,24.0,6.422136662208445,Adult
0,17.0,5.20708500711954,Adult
0,3.0,4.407690974978291,Adult
0,20.0,4.412921769705209,Adult
3,10.0,5.248471934825372,Adult
6,13.0,5.660846438905111,Adult
0,24.0,6.165689121093643,Adult
12,2.0,4.249855388226614,Adult
9,23.0,5.228062635318803,Adult
7,16.0,5.739282258568362,Adult
8,8.0,4.236402390973857,Adult
0,11.0,5.289939191397242,Adult
0,25.0,6.207123180465546,Adult
0,17.0,7.794961537912528,Adult
0,23.0,6.409516176689991,Adult
1,22.0,4.47073641003546,Adult
1,4.0,5.7254702317054775,Adult
0,11.0,4.944351400824088,Adult
0,14.0,6.145671583135538,Adult
3,25.0,5.60847632857462,Adult
5,20.0,5.339522556572618,Adult
10,6.0,5.203144206640346,Adult
1,23.0,5.998735294502592,Adult
0,17.0,6.340717624571478,Adult
0,13.0,5.031356637139893,Adult
1,24.0,4.4878319911603715,Adult
3,16.0,4.266899678059313,Adult
7,22.0,4.245510501970525,Adult
2,22.0,6.916924764138724,Adult
4,16.0,4.793459710470755,Adult
7,25.0,6.928813692778554,Adult
11,24.0,4.90387143859163,Adult
8,23.0,5.185742433493452,Adult
11,3.0,5.680494055897967,Adult
0,19.0,4.466179207690405,Adult
5,24.0,4.420831401133913,Adult
1,16.0,4.4291234071019865,Adult
0,7.0,5.228495514731138,Adult
8,3.0,5.745875682025076,Adult
8,13.0,4.310437388571145,Adult
0,20.0,5.135246103054223,Adult
4,20.0,5.694676610705055,Adult
0,23.0,5.400282720429381,Adult
2,17.0,5.26016273041798,Adult
6,21.0,4.385060251825622,Adult
0,9.0,4.270361983885104,Adult
0,3.0,5.488491902942629,Adult
3,21.0,5.045840166857863,Adult
1,24.0,4.264987629920549,Adult
0,20.0,5.192585705078638,Adult
2,13.0,6.411426861237109,Adult
6,8.0,4.938185033079333,Adult
3,20.0,6.498747413406214,Adult
8,22.0,4.654935867843723,Adult
3,19.0,5.112365196383105,Adult
0,20.0,5.587023547984423,Adult
7,25.0,4.80307114012194,Adult
3,21.0,4.383138757574334,Adult
2,20.0,4.933300084390522,Adult
0,23.0,6.042531614859794,Adult
0,6.0,4.673880094688939,Adult
2,18.0,4.951060471534133,Adult
3,0.0,5.602705920416428,Adult
0,19.0,5.782812101516356,Adult
0,17.0,5.386612817274077,Adult
7,7.0,5.138788654504945,Adult
0,19.0,4.538307619753647,Adult
0,1.0,4.434740327871158,Adult
3,18.0,5.501851042913166,Adult
0,22.0,4.546530189852591,Adult
0,19.0,4.587007201766568,Adult
0,25.0,5.996560299879478,Adult
8,14.0,5.900647007781277,Adult
0,7.0,4.562196128821485,Adult
0,23.0,4.8683404919544735,Adult
5,5.0,6.207584240079769,Adult
2,14.0,5.158854155528067,Adult
1,3.0,6.462898047099822,Adult
5,8.0,5.63179299121377,Adult
0,15.0,5.806327128534811,Adult
0,22.0,4.449560202212744,Adult
0,20.0,5.413883937689878,Adult
0,13.0,4.755585795903459,Adult
2,24.0,6.1030651283823,Adult
0,20.0,4.401595373591058,Adult
0,21.0,5.831425726514877,Adult
2,1.0,6.218665665079227,Adult
6,20.0,4.6154555301603715,Adult
0,25.0,4.453856986068348,Adult
4,18.0,4.452780378735822,Adult
